AC,LOCATION,PART_REQUEST,PART_REQUEST_STATUS,PRIORITY_CD,PART_NO,QTY_UNIT_CD,PART_TYPE_CD,PART_USE_CD,INV_CLASS_CD,TASK_BARCODE,TASK_NAME,TASK_STATUS,WP_BARCODE,WP_NAME,WP_STATUS,WORK_TYPE_CD,REQ_QT,REQUEST_CREATION,TASK_CREATION
CC-CXI,LIM/LINE,R2HHLN007E4FM,PRAVAIL,NORMAL,018550-000,EA,1 COMP,AE,TRK,T00BJ3P3,24-31-01-02-035-INST (BATTERY-INST),ACTV,T00CJ47X,WP-LM-CC-CXI21SEP17-BATTERY T-0,IN WORK,LINE,1,42803.6762847222,42803.6759143519
CC-CXI,MIA/LINE,R2HHLN007FDXP,PRAVAIL,NORMAL,202331,EA,PACKINGS,CONSUM,BATCH,T00AJZRF,MP-B767-26-033-FWD-INSP(JIC) (PORTABLE WATER FIRE EXTINGUISHERS CONDITION),ACTV,T00CJ47X,WP-LM-CC-CXI21SEP17-BATTERY T-0,IN WORK,LINE,1,42822.5152314815,42627.1411458333
CC-CYJ,UIO/LINE,R2HHLN007UVYC,PROPEN,NORMAL,AMS 2518,EA,OIL,CONSUM,BATCH,T00CK4Q8,POWERPLANTREQ-ING-(APU Monitoring)(REPLACEMENT CUPPER SEAL OF OIL TRANSFER TUBE 11 O´CLOCK (CC-CYJ)),ACTV,T00CFAME,WP-LM-CC-CYJ19SEP17-FASE1,IN WORK,LINE,1,42996.8897453704,42996.8884375
CC-CYJ,UIO/LINE,R2HHLN007UXEQ,PROPEN,NORMAL,4510643,EA,ENGINE,CONSUM,BATCH,T00CK4Q8,POWERPLANTREQ-ING-(APU Monitoring)(REPLACEMENT CUPPER SEAL OF OIL TRANSFER TUBE 11 O´CLOCK (CC-CYJ)),ACTV,T00CFAME,WP-LM-CC-CYJ19SEP17-FASE1,IN WORK,LINE,1,42997.7078356482,42996.8884375
CC-CYJ,UIO/LINE,R2HHLN007UVZ2,PRAVAIL,NORMAL,4510643,EA,ENGINE,CONSUM,BATCH,T00CK4Q8,POWERPLANTREQ-ING-(APU Monitoring)(REPLACEMENT CUPPER SEAL OF OIL TRANSFER TUBE 11 O´CLOCK (CC-CYJ)),ACTV,T00CFAME,WP-LM-CC-CYJ19SEP17-FASE1,IN WORK,LINE,1,42996.8933101852,42996.8884375
FAC985,SCL/LINE,R2HHLN007UNK7,PROPEN,NORMAL,216T1101-14,EA,5 CONS,CONSUM,BATCH,T00CHB98,G/I OUT FLOW VALVE PROTECTIVE CAGE, DAMAGE.,ACTV,T00CJ7N4,WP-LM-FAC98514SEP17-[GRUPO 10],IN WORK,LINE,1,42992.6225,42986.4954282407
LV-BGI,IGR/LINE,R2HHLN007V0BN,PROPEN,NORMAL,790425A8,EA,1 COMP,AE,TRK,T00CKK0K,ING NO GO - SPR 8000 - LV-BGI // ENG 2 FAIL - ENG 2 START FAULT,ACTV,T00CKJV8,WP-LM-LVBGI21SEP17-AOG IGR 4M,IN WORK,LINE,1,42999.0385532407,42999.0141898148
LV-BGI,IGR/LINE,R2HHLN007V0AZ,PRREMOTE,NORMAL,43176AC,EA,HARDWARE,CONSUM,BATCH,T00CKK0K,ING NO GO - SPR 8000 - LV-BGI // ENG 2 FAIL - ENG 2 START FAULT,ACTV,T00CKJV8,WP-LM-LVBGI21SEP17-AOG IGR 4M,IN WORK,LINE,1,42999.0368171296,42999.0141898148
LV-BGI,IGR/LINE,R2HHLN007V0B0,PRREMOTE,NORMAL,69490D216,EA,PACKINGS,CONSUM,BATCH,T00CKK0K,ING NO GO - SPR 8000 - LV-BGI // ENG 2 FAIL - ENG 2 START FAULT,ACTV,T00CKJV8,WP-LM-LVBGI21SEP17-AOG IGR 4M,IN WORK,LINE,1,42999.0369560185,42999.0141898148
LV-BGI,IGR/LINE,R2HHLN007V0B8,PRREMOTE,NORMAL,AS43013-112,EA,2 REPR,AE,BATCH,T00CKK0K,ING NO GO - SPR 8000 - LV-BGI // ENG 2 FAIL - ENG 2 START FAULT,ACTV,T00CKJV8,WP-LM-LVBGI21SEP17-AOG IGR 4M,IN WORK,LINE,5,42999.0391898148,42999.0141898148
LV-BGI,IGR/LINE,R2HHLN007V0BE,PRREMOTE,NORMAL,AS43013-116,EA,2 REPR,AE,BATCH,T00CKK0K,ING NO GO - SPR 8000 - LV-BGI // ENG 2 FAIL - ENG 2 START FAULT,ACTV,T00CKJV8,WP-LM-LVBGI21SEP17-AOG IGR 4M,IN WORK,LINE,1,42999.0394444445,42999.0141898148
LV-BGI,IGR/LINE,R2HHLN007V0BQ,PRREMOTE,NORMAL,AS43013-128,EA,PACKINGS,CONSUM,BATCH,T00CKK0K,ING NO GO - SPR 8000 - LV-BGI // ENG 2 FAIL - ENG 2 START FAULT,ACTV,T00CKJV8,WP-LM-LVBGI21SEP17-AOG IGR 4M,IN WORK,LINE,1,42999.0397222222,42999.0141898148
LV-BGI,IGR/LINE,R2HHLN007V0B5,PRREMOTE,NORMAL,FEL PRO C5-A,EA,OIL,CONSUM,BATCH,T00CKK0K,ING NO GO - SPR 8000 - LV-BGI // ENG 2 FAIL - ENG 2 START FAULT,ACTV,T00CKJV8,WP-LM-LVBGI21SEP17-AOG IGR 4M,IN WORK,LINE,1,42999.0362615741,42999.0141898148
LV-BGI,IGR/LINE,R2HHLN007V0BS,PRREMOTE,NORMAL,HYLOMAR PL32,EA,SEAL,CONSUM,BATCH,T00CKK0K,ING NO GO - SPR 8000 - LV-BGI // ENG 2 FAIL - ENG 2 START FAULT,ACTV,T00CKJV8,WP-LM-LVBGI21SEP17-AOG IGR 4M,IN WORK,LINE,1,42999.0401967593,42999.0141898148
LV-BGI,IGR/LINE,R2HHLN007V0BV,PRREMOTE,NORMAL,MS9967-012,EA,PACKINGS,CONSUM,BATCH,T00CKK0K,ING NO GO - SPR 8000 - LV-BGI // ENG 2 FAIL - ENG 2 START FAULT,ACTV,T00CKJV8,WP-LM-LVBGI21SEP17-AOG IGR 4M,IN WORK,LINE,1,42999.0404976852,42999.0141898148
LV-BGI,IGR/LINE,R2HHLN007V0C0,PRREMOTE,NORMAL,NK103102-0400,EA,PACKINGS,CONSUM,BATCH,T00CKK0K,ING NO GO - SPR 8000 - LV-BGI // ENG 2 FAIL - ENG 2 START FAULT,ACTV,T00CKJV8,WP-LM-LVBGI21SEP17-AOG IGR 4M,IN WORK,LINE,1,42999.0407986111,42999.0141898148
LV-BGI,IGR/LINE,R2HHLN007V0BJ,PROPEN,NORMAL,5950041-108,EA,1 COMP,AE,TRK,T00CKK0K,ING NO GO - SPR 8000 - LV-BGI // ENG 2 FAIL - ENG 2 START FAULT,ACTV,T00CKJV8,WP-LM-LVBGI21SEP17-AOG IGR 4M,IN WORK,LINE,1,42999.0382291667,42999.0141898148
LV-BGI,IGR/LINE,R2HHLN007V1KT,PRONORDER,NORMAL,740-5139-501,EA,5 CONS,AE,BATCH,T00CH6TJ,ING HIGH DELAY RISK - SPR 7322 - (LV-BGI#2) - VERIFICACIÓN DE TUBOS NEUMÁTICOS SOLENOID VALVES,ACTV,T00CKJV8,WP-LM-LVBGI21SEP17-AOG IGR 4M,IN WORK,LINE,2,42999.5413888889,42985.7600810185
LV-BGI,IGR/LINE,R2HHLN007V0BU,PROPEN,NORMAL,V10-108,EA,5 CONS,CONSUM,BATCH,T00CKK0K,ING NO GO - SPR 8000 - LV-BGI // ENG 2 FAIL - ENG 2 START FAULT,ACTV,T00CKJV8,WP-LM-LVBGI21SEP17-AOG IGR 4M,IN WORK,LINE,1,42999.0410185185,42999.0141898148
LV-BGI,IGR/LINE,R2HHLN007V0BH,PROPEN,NORMAL,EB101729C,EA,2 REPR,AE,TRK,T00CKK0K,ING NO GO - SPR 8000 - LV-BGI // ENG 2 FAIL - ENG 2 START FAULT,ACTV,T00CKJV8,WP-LM-LVBGI21SEP17-AOG IGR 4M,IN WORK,LINE,1,42999.0380671296,42999.0141898148
LV-BGI,IGR/LINE,R2HHLN007V0BL,PROPEN,NORMAL,G4000VSVA01,EA,1 COMP,AE,TRK,T00CKK0K,ING NO GO - SPR 8000 - LV-BGI // ENG 2 FAIL - ENG 2 START FAULT,ACTV,T00CKJV8,WP-LM-LVBGI21SEP17-AOG IGR 4M,IN WORK,LINE,1,42999.0375578704,42999.0141898148
LV-BGI,IGR/LINE,R2HHLN007V0B4,PROPEN,NORMAL,341E010000,EA,2 REPR,AE,SER,T00CKK0K,ING NO GO - SPR 8000 - LV-BGI // ENG 2 FAIL - ENG 2 START FAULT,ACTV,T00CKJV8,WP-LM-LVBGI21SEP17-AOG IGR 4M,IN WORK,LINE,1,42999.0360185185,42999.0141898148
LV-BGI,IGR/LINE,R2HHLN007V0BC,PROPEN,NORMAL,AA1051-00,EA,1 COMP,AE,TRK,T00CKK0K,ING NO GO - SPR 8000 - LV-BGI // ENG 2 FAIL - ENG 2 START FAULT,ACTV,T00CKJV8,WP-LM-LVBGI21SEP17-AOG IGR 4M,IN WORK,LINE,1,42999.0378356481,42999.0141898148
LV-BGI,IGR/LINE,R2HHLN007U3GL,PRONORDER,NORMAL,745-5143-501,EA,,,BATCH,T00CH6TJ,ING HIGH DELAY RISK - SPR 7322 - (LV-BGI#2) - VERIFICACIÓN DE TUBOS NEUMÁTICOS SOLENOID VALVES,ACTV,T00CKJV8,WP-LM-LVBGI21SEP17-AOG IGR 4M,IN WORK,LINE,4,42985.7609722222,42985.7600810185
LV-BGI,IGR/LINE,R2HHLN007V0BG,PROPEN,NORMAL,8061-639,EA,1 COMP,AE,TRK,T00CKK0K,ING NO GO - SPR 8000 - LV-BGI // ENG 2 FAIL - ENG 2 START FAULT,ACTV,T00CKJV8,WP-LM-LVBGI21SEP17-AOG IGR 4M,IN WORK,LINE,1,42999.0372916667,42999.0141898148
LV-BGI,IGR/LINE,R2HHLN007V0BR,PRAVAIL,NORMAL,BDC25,EA,6 OTHER,CONSUM,BATCH,T00CKK0K,ING NO GO - SPR 8000 - LV-BGI // ENG 2 FAIL - ENG 2 START FAULT,ACTV,T00CKJV8,WP-LM-LVBGI21SEP17-AOG IGR 4M,IN WORK,LINE,1,42999.0399884259,42999.0141898148
LV-BGI,IGR/LINE,R2HHLN007V0AY,PROPEN,NORMAL,NSA8203-117,EA,PACKINGS,CONSUM,BATCH,T00CKK0K,ING NO GO - SPR 8000 - LV-BGI // ENG 2 FAIL - ENG 2 START FAULT,ACTV,T00CKJV8,WP-LM-LVBGI21SEP17-AOG IGR 4M,IN WORK,LINE,1,42999.0364814815,42999.0141898148
LV-BRY,SCL/SH,R2HHLN007V0VJ,PROPEN,NORMAL,342300M01,EA,1 COMP,AE,TRK,T00CKD5X,DURING INSPECTION BY MOC # 264826 TEMPORARY REPAIR PLATE P/N D2738011500100. WAS FOUND PLATE WITH CRACK IN ELEVATOR LH (ACCES DOOR 334DB) 49CE1.,PAUSE,T00CK7VH,WP-LM-LV-BRY19SEP17- MOC # 264826 / MOC # 259322,IN WORK,LINE,1,42999.2673148148,42998.3050578704
LV-BRY,AEP/LINE,R2HHLN007UY2L,PROPEN,NORMAL,HG2030AD33,EA,1 COMP,AE,TRK,T00CJUPZ,MOC 264727 IR 3 INOP,ACTV,T00CK7VH,WP-LM-LV-BRY19SEP17- MOC # 264826 / MOC # 259322,IN WORK,LINE,1,42998.165775463,42994.6572569444
LV-BRY,SCL/SH,R2HHLN007UU5M,PROPEN,NORMAL,D2738011500100,EA,,CONSUM,BATCH,T00CJXM5,MOC # 264826 POR REPARACION DE PLATE P/N D2738011500100 ATORIZADO POR AIB SE DIFIRE A 15 F/C CON INPECCION,ACTV,T00CK7VH,WP-LM-LV-BRY19SEP17- MOC # 264826 / MOC # 259322,IN WORK,LINE,1,42995.3580092593,42995.337962963
LV-BRY,SCL/SH,R2HHLN007UZLZ,PRPOREQ,NORMAL,D2738011500000,EA,,CONSUM,BATCH,T00CKD5X,DURING INSPECTION BY MOC # 264826 TEMPORARY REPAIR PLATE P/N D2738011500100. WAS FOUND PLATE WITH CRACK IN ELEVATOR LH (ACCES DOOR 334DB) 49CE1.,PAUSE,T00CK7VH,WP-LM-LV-BRY19SEP17- MOC # 264826 / MOC # 259322,IN WORK,LINE,1,42998.6487962963,42998.3050578704
LV-BRY,SCL/SH,R2HHLN007UV3E,PRREMOTE,NORMAL,D2551025400000,EA,EQPFURN,AE,BATCH,T00CK0Z9,MOC # 264829 LOWER PROTECTION PANEL DAMAGE AT FWD PARITION 131DW , FR 24 ON FWD CARGO COMPARTMENT / SECCION 11 NO PUEDE SER UTILIZADA,ACTV,T00CK7VH,WP-LM-LV-BRY19SEP17- MOC # 264826 / MOC # 259322,IN WORK,LINE,1,42996.3075,42996.2489930556
LV-BRY,SCL/SH,R2HHLN007UG7Q,PRAVAIL,NORMAL,HYSOL EA 9396,QT,5 CONS,CONSUM,BATCH,T00CHE75,MOC # 259322 EROSION EN LEADING EDGE ESTABILIZADOR VERTICAL ZONA C,ACTV,T00CK7VH,WP-LM-LV-BRY19SEP17- MOC # 264826 / MOC # 259322,IN WORK,LINE,1,42990.7315393519,42986.8329398148
LV-BRY,SCL/SH,R2HHLN007UG7E,PRAVAIL,NORMAL,D5537002601000,EA,2 REPR,AE,SER,T00CHE75,MOC # 259322 EROSION EN LEADING EDGE ESTABILIZADOR VERTICAL ZONA C,ACTV,T00CK7VH,WP-LM-LV-BRY19SEP17- MOC # 264826 / MOC # 259322,IN WORK,LINE,1,42990.7301851852,42986.8329398148
LV-BRY,SCL/SH,R2HHLN007UQNW,PRAVAIL,NORMAL,759D0000-02,EA,1 COMP,AE,TRK,T00CGKUG,MOC # 263747   AIR PACK 1 REG FAULT.,ACTV,T00CK7VH,WP-LM-LV-BRY19SEP17- MOC # 264826 / MOC # 259322,IN WORK,LINE,1,42993.3346296296,42982.5671990741
LV-BRY,SCL/SH,R2HHLN007UG7U,PRAVAIL,NORMAL,HEXFORCE 7781,SF,6 OTHER,CONSUM,BATCH,T00CHE75,MOC # 259322 EROSION EN LEADING EDGE ESTABILIZADOR VERTICAL ZONA C,ACTV,T00CK7VH,WP-LM-LV-BRY19SEP17- MOC # 264826 / MOC # 259322,IN WORK,LINE,1,42990.7310300926,42986.8329398148
LV-CFV,MIA/LINE,R2HHLN0072DGT,PRAVAIL,NORMAL,40472.U910.5.S80,EA,5 CONS,CONSUM,KIT,T00ATELA,CABIN-B767-SICMA-HIT LIST-A0609(REQ) (PRIVACY DIVIDER AND MAGAZINE COMPARTMENT PAINT) - PREV),ACTV,T00CHYTG,WP-LM-LV-CFV21SEP17-01,IN WORK,LINE,1,42671.0956481482,42671.0934259259
